Component,Tc,Pc,href,sref,A,B,C,D,E,F,G,eqNo
,[K],[Pa],[J/kmol],[J/kmol K],[J/kmol K],[J/kmol K],[K],[J/kmol K],[K],[J/kmol K],[K],
He,5.2,2.274e5,0.0,126150,20786.03,0.0,0.0,0.0,0.0,0.0,0.0,0
N2,126.2,3.40000E+06,0.0,1.91609E+05,2.9105E+04,8.6149E+03,1.7016E+03,1.0347E+02,9.0979E+02,0.0,0.0,107
CH4,190.564,4.59900E+06,-7.45200E+07,1.86270E+05,3.3298E+04,7.9933E+04,2.0869E+03,4.1602E+04,9.9196E+02,0.0,0.0,107
C2H6,305.32,4.87200E+06,-8.38200E+07,2.29120E+05,3.3258E+04,7.0254E+04,-1.6058E+03,6.0623E+04,-3.7847E+03,1.2108E+04,4.8958E+02,127
C3H8,369.83,4.24800E+06,-1.04680E+08,2.70200E+05,3.3258E+04,7.9306E+04,-3.8373E+03,2.8074E+04,-4.1345E+02,1.0627E+05,-1.5436E+03,127
C4H10,425.12,3.79600E+06,-1.25790E+08,3.09910E+05,3.3258E+04,4.7101E+04,-3.0673E+02,9.8932E+04,-3.7822E+03,1.3746E+05,1.5219E+03,127
C5H12,469.7,3.37000E+06,-1.46760E+08,3.49450E+05,8.8050E+04,3.0110E+05,1.6502E+03,1.8920E+05,7.4760E+02,0.0,0.0,107
C6H14,507.6,3.02500E+06,-1.66940E+08,3.88740E+05,1.0440E+05,3.5230E+05,1.6946E+03,2.3690E+05,7.6160E+02,0.0,0.0,107
C7H16,540.2,2.74000E+06,-1.87650E+08,4.27980E+05,1.2015E+05,4.0010E+05,1.6766E+03,2.7400E+05,7.5640E+02,0.0,0.0,107
